id,subject,catalog_number,code,academic_group,academic_org,career_level,effective_year,level,department,title
125028,ENGEC,450,ENGEC 450,ENG,ENG,UGRD,2024,Advanced Undergraduate,ENG,ENGEC 450
125039,ENGEC,463E,ENGEC 463E,ENG,SAB,UGRD,2023,Advanced Undergraduate,SAB,ENGEC 463E
125040,ENGEC,463,ENGEC 463,ENG,ENG,UGRD,2023,Advanced Undergraduate,ENG,ENGEC 463
125061,ENGEC,508,ENGEC 508,ENG,ENG,UGRD,2023,Graduate,ENG,ENGEC 508
125063,ENGEC,512S,ENGEC 512S,ENG,SUM,UGRD,2023,Graduate,SUM,ENGEC 512S
125064,ENGEC,512,ENGEC 512,ENG,ENG,UGRD,2023,Graduate,ENG,ENGEC 512
125079,ENGEC,523S,ENGEC 523S,ENG,SUM,UGRD,2023,Graduate,SUM,ENGEC 523S
125080,ENGEC,523,ENGEC 523,ENG,ENG,UGRD,2023,Graduate,ENG,ENGEC 523
181009,EOPBS,012S,EOPBS 012S,BU1,EOP,UGRD,2023,Introductory,EOP,EOPBS 012S
181010,COMFT,417,COMFT 417,COM,COM,UGRD,2023,Advanced Undergraduate,COM,COMFT 417
181011,CASAN,206,CASAN 206,CAS,CASAN,UGRD,2023,Undergraduate Upper,CASAN,CASAN 206
181012,GMSBT,492S,GMSBT 492S,MED,GMS,GRAD,2023,Advanced Undergraduate,GMS,GMSBT 492S
181013,CFAMH,480,CFAMH 480,CFA,CFA,UGRD,2023,Advanced Undergraduate,CFA,CFAMH 480
181014,SARHS,436,SARHS 436,SAR,SAR,UGRD,2024,Advanced Undergraduate,SAR,SARHS 436
181015,QSTIS,911,QSTIS 911,QST,QST,GRAD,2023,Graduate,QST,QSTIS 911
181016,QSTIM,475,QSTIM 475,QST,QST,UGRD,2024,Advanced Undergraduate,QST,QSTIM 475
181017,HUBCC,127,HUBCC 127,BU1,HUB,UGRD,2023,Undergraduate Lower,HUB,HUBCC 127
181018,CASRN,351,CASRN 351,CAS,CASRN,UGRD,2023,Advanced Undergraduate,CASRN,CASRN 351
181019,CASLJ,113,CASLJ 113,CAS,CASWL,UGRD,2024,Undergraduate Lower,CASWL,CASLJ 113
181020,GRSBI,795S,GRSBI 795S,GRS,SUM,GRAD,2023,Graduate,SUM,GRSBI 795S
181021,GRSWS,617,GRSWS 617,GRS,GRSWS,GRAD,2023,Graduate,GRSWS,GRSWS 617
181022,HUBCC,107S,HUBCC 107S,BU1,HUB,UGRD,2023,Undergraduate Lower,HUB,HUBCC 107S
181023,CDSDS,701,CDSDS 701,CDS,CDS,GRAD,2023,Graduate,CDS,CDSDS 701
181024,SPHBS,755,SPHBS 755,SPH,SPH,GRAD,2023,Graduate,SPH,SPHBS 755
